title,genre,director,country,year
,,Стив Бэррон,США   Великобритания   Германия,2000
,,Юрий Вышинский,СССР,1963
,,Даниэль Касателле Изабелла Кларк,Франция,2009
,,А. Белинский В. Васильев,СССР,1982
,,Саймон Лэнгтон,США,1985
,,Михаил Жаров Виталий Иванов Владимир Рапопорт,СССР,1973
,,Ральф Хемекер,США,2007
,,"Сергей Кисляков,  Дмитрий Ларченко,  Юрий Устинов",Россия,2012
,,Марвин Чомски,США    Австрия   Италия,1986
,,Дон Э. ФонтЛеРой,США,2009
,,Дон Э. Фонтлерой,США   Румыния,2008
,,Дэвид Белтон,США,2012
,,Сэндор Стерн,США,1989
,,Борис Квашнёв,РСФСР   Россия,1992
,,Томми О’Хейвер,США,2007
,,Лоуренс Шиллер,США,
,,Марийонас Гидрис,СССР,1981
,,Джон Кролл,США,1995
,,Ли Филипс,США,1974
,,Ник Уиллинг,США   Германия   Великобритания,1999
,,Гарри Харрис,США,1985
,,Джон Хендерсон,Великобритания,1998
,,Тим Бёртон,США,1986
,,Боб Мисиоровски,США   Израиль     ЮАР,1999
,,Деклан О’Брайен,США,2010
,,Энтони Ферранте,США,2014
,,Энтони Ферранте,США,2013
,,Роберт Хэрмон,США,2004
,,Дуглас Кэмфилд,США   Великобритания,1982
,,Геннадий Беглов,СССР,1989
,,Мик Гаррис,США,1997
,,Януш Маевский,Польша,1964
,,Иосиф Райхельгауз,Россия,1993
,,Павел Тупик,Россия,2012
,,Рамин Бахрани,США,2018
,,Джейсон Коннери,США,2011
,,Леонид Квинихидзе,СССР,1978
,,Джон Кассар,США,2008
,,Григорий Никулин,СССР,1981
,,Питер Делуиз,США,2010
,,Марк Захаров,СССР,1976
,,Уильям Фридкин,США,
,,Рассел Малкэхи,США,2004
,,Питер Дэвисон,Великобритания,2013
,,Жан Имаж   Чарльз Фрэнк (англоязычная версия),Франция,1950
,,Владимир Лещёв,Латвия,2004
,,Михаил Алдашин,Россия,2012
,романтическая драма,"Тэцуя Ватанабэ Китахата Тору 
 Тэцуя Ватанабэ Кимура Хироси 
Сага Сатоси 
 Хидэки Такаяма",,
,,"Инна Евланникова , Александр Храмцов",Россия,2020
,,Святослав Ушаков  (постановщик) Инна Евланникова  (постановщик),Россия,2010
,,Владимир Данилевич,СССР,1968
,,Галина Тургенева,СССР,1981
,,"Кацухито Акияма 
Кацухито Акияма 
Кацухито Акияма 
Кацухито Акияма",,
,"комедия ,  спокон ,  приключения","Кавасэ Тосифуми Ким Сон Бом 
Такэути Ёсио 
Ясуми Тэцуо Такэути Ёсио Имадзаки Ицуки 
Хасимото Мицуо 
 Сугисима Кунихиса 
Сугисима Кунихиса 
Сугисима Кунихиса 
Сугисима Кунихиса 
Акияма Кацухито 
Акияма Кацухито 
Акияма Кацухито Ямагути Кэнтаро 
Акияма Кацухито",,
,,Аб Айверкс Уолт Дисней,США,1928
,,Дэвид Хэнд,США,1933
,,Наталья Мальгина,Россия,2010
,"романтика,  трагикомедия ,  приключения ,  фэнтези ,  драма","Котаро Тамура 
Котаро Тамура 
Котаро Тамура 
Котаро Тамура",,
,,Борис Степанов,СССР,1980
,,Станислав Соколов,СССР,1981
,,Джон Лассетер,США,1989
,,Курт Геда,США,2016
,,Батч Лукич,США,2015
,,Батч Лукич,США,2015
,"приключения ,  комедия ,  фэнтези ,  этти","Ацуко Исидзука 
 Ацуко Исидзука",,
,,Вадим Курчевский,СССР,1982
,,Эмиль Рейно,Франция,1892
,,Идея Гаранина,СССР,1978
,,Пётр Носов,СССР,1963
,,Эдуард Назаров,СССР,1975
,,Дон Блут Гэри Голдман,США,1999
,,Карел Земан,Чехословакия,1961
,,"Леонид Амальрик ,   Владимир Полковников",СССР,1941
,,Елена Галдобина Фёдор Дмитриев,Россия,2022
,,Елена Галдобина Федор Дмитриев,Россия,2020
,,Уильям Лау Терри Классен,США,2011
,,Изекиль Нортон,США,2015
,,Уильям Лау,США,2004
,,Адам Л. Вуд,США,2010
,,Оуэн Херли,США,2003
,,Грег Ричардсон,США,2005
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Зеке Нортон",США,2011
,,Конрад Хелтен,США,2009
,,Оуэн Херли,США,2001
,,Уильям Лау,США,2009
,,Келли Кайран,США,2013
,,Оуэн Хёрли,США   Канада,2002
,,Грег Ричардсон,США,2006
,,Джей Грэйс,Великобритания,2015
,,"Уилл Бечер,  Ричард Фелан","Великобритания ,    Франция",2019
,,Марк Бёртон,Великобритания    Франция,2015
,,"Бад Лаки ,  Роджер Гулд",США,2003
,,Наталия Голованова,СССР,1990
,,Александра Снежко-Блоцкая,СССР,1963
,,Доми Ши,США,2018
,,"Сергей Юткевич 
 Анатолий Каранович",СССР,1962
,,Крис Уэдж,США,1998
,,Гарри Бардин,СССР,1986
,,Иосиф Боярский,СССР,1962
,,Фил Вайнштейн,США,2004
,,Фил Вейнштейн,США,2002
,,Саймон Уэллс,США,1995
,,"Михаил Калинин ,   Роман Давыдов",СССР,1955
,,Лев Атаманов,СССР,1969
,,Эрик Саммер Эрик Уорин,Канада   Франция,2016
,,Йорген Лендарм,Дания,2010
,,Кристоф  и  Вольфганг Лауэнштайны,ФРГ,1989
,,Бржетислав Пояр,Канада,1972
,,Тэд Стоунс,США,2000
,,Энгус Маклейн,США,2022
,,Анатолий Солин,Россия,1992
,,Леонид Амальрик,СССР,1963
,,Лев Мильчин,СССР,1969
,,Андрей Золотухин,Россия,1996
,,Валерий Угаров,СССР,1978
,,Андрей Хржановский,СССР,1972
,,"Валерий Угаров , Ирина Литовская (ассистент)",Россия,2006
,,Марина Медвидь,Украина,2014
Баба-яга против!,,Владимир Пекарь,СССР,1979
,"фэнтези ,  приключения",Горо Миядзаки,,
,,Тони Тэнг,США,2012
,,Чо Бомчжин,Республика Корея,2006
,Ситком,,Израиль,
,,Иван Уфимцев,Россия,1994
,,Юлиан Калишер,СССР,1987
,,Фумитомо Кидзаки,Япония,2009
,,"Леонид Аристов , Игорь Николаев",СССР,1963
,,Гари Труздейл Кирк Уайз,США,2001
,,"Виктор Кук 
 Тоби Шелтон 
 Тад Стоунс",США,2003
,"боевик ,  драма ,  тёмное фэнтези ,  постапокалиптика","Тэцуро Араки  (1–59) 
 
Масаси Коидзука (26–59) Юитиро Хаяси (60–89, 93-94) Дзюн Сисидо (60–92) Рёта Аикэи (89-90) Кио Игараси (89, 92-93) 
 Тэцуро Араки 
 Тэцуро Араки 
 Тэцуро Араки Масаси Коидзука 
 Тэцуро Араки Масаси Коидзука 
Юитиро Хаяси, Рёта Аикэи, Токио Игараси 
Юитиро Хаяси",,
,,Дэвид Бауэрс,США     Япония   Гонконг,2009
,,"Александр Астье , Луи Клиши",Франция    Бельгия,2014
,,Гаэтан Брицци Пол Брицци,Франция   Бельгия,1985
,,Рей Госсенс,Франция   Бельгия,1967
,,Александр Астье Луи Клиши,Франция,2018
,,Рене Госинни Альбер Удерзо,Франция   Бельгия,1968
,,Стефан Фьельдмарк Еспер Мюллер,Франция   Дания,2006
,,Герхард Хан,Германия   Франция,1994
,,Пино ван Ламсвеерде,Франция   Бельгия,1986
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Félix Dufour-Laperrière",Канада,2021
,,Так Такер,США,2002
,,".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.external{color:#ba0000;color:var(--color-link-red,#ba0000)}.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)} Ryan Crego",США,2021
,"приключения ,  фэнтези ,  сказка",Хиромаса Ёнэбаяси,,
,,Александра Снежко-Блоцкая,СССР,1971
,,Квирино Кристиани,Аргентина,1917
,,Галина Баринова,СССР,1976
,,Леонид Носырев,СССР,1969
,,"Дьюк Джонсон,  Чарли Кауфман",США,2015
,,Рой Уилсон,США,1997
,,"Альфредо Содергуит, Альфредо Содергит",Уругвай   Колумбия,2013
,"киберпанк ,  постапокалиптика ,  боевик ,  драма",Кодзи Моримото Синъитиро Ватанабэ Махиро Маэда Питер Чунг Энди Джонс Ёсиаки Кавадзири Такэси Коикэ,США,
,,Игорь Ковалёв,СССР  →    Россия,1991
,"фантастика ,  боевик ,  сёнэн ,  меха ,  этти","Коити Охата 
 Коити Охата",,
,,Захариас Кунук,Канада,2021
,,Дон Блут Гари Голдман,США,1997
,,Давид Саакянц Люля Саакянц,Армения,2014
,,Дон Блут,США,1986
,,Ларри Лэтэм,США,1999
,,Ларри Лэтэм,США,1998
,,Фил Ниббелинк Саймон Уэллс,США,1991
,,Мэтт Томпсон,США,2021
,,Геннадий Тищенко,Россия,1994
,,Энтони Белл Бен Глюк,США   Индия   Канада,2010
,,Ричард Рич,США,2014
,,"Ричард Рич , Энтони Белл",США,2013
,,Тим Малтбу,США,2005
,,Юрий Прытков,СССР,1971
,,Уолт Дисней,США,1925
,,".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} 
 Клайд Джероними 
 Уилфред Джексон 
 Хэмилтон Ласк 
 Джек Кинни",США,1951
,,Ян Шванкмайер,Чехословакия   Швейцария   Великобритания   ФРГ,1988
,,Григорий Ломидзе,СССР,1959
,"приключения ,  сказка",Сидара Хироси,,
,,Роман Качанов,СССР,1964
